Year	Title	English Title	Director(s)	Duration	Prize	IMDb Link
2016	Spotlight	Spotlight	Tom McCarthy	2 h 09 min	Oscar	https://www.imdb.com/title/tt1895587/
2017	Elle	Elle	Paul Verhoeven	2 h 10 min	Cesar	https://www.imdb.com/title/tt3716530/
2017	Moonlight	Moonlight	Barry Jenkins	1 h 51 min	Oscar	https://www.imdb.com/title/tt4975722/
2017	The Square	The Square	Ruben Östlund	2 h 31 min	Palme	https://www.imdb.com/title/tt4995790/
2018	120 Battements par minute	BPM (Beats Per Minute)	Robin Campillo	2 h 23 min	Cesar	https://www.imdb.com/title/tt6135348/
2018	Le Livre d'image	The Image Book	Jean-Luc Godard	1 h 24 min	Palme	https://www.imdb.com/title/tt6896648/
2018	The Shape of Water	The Shape of Water	Guillermo del Toro	2 h 03 min	Oscar	https://www.imdb.com/title/tt5580390/
2018	Une affaire de famille	Shoplifters	Hirokazu Kore-eda	2 h 01 min	Palme	https://www.imdb.com/title/tt8075192/
2019	Green Book	Green Book	Peter Farrelly	2 h 10 min	Oscar	https://www.imdb.com/title/tt6966692/
2019	Jusqu'à la garde	Custody	Xavier Legrand	1 h 33 min	Cesar	https://www.imdb.com/title/tt6002232/
2019	Parasite	Parasite	Bong Joon Ho	2 h 12 min	Palme	https://www.imdb.com/title/tt6751668/
2020	Les Misérables	Les Misérables	Ladj Ly	1 h 44 min	Cesar	https://www.imdb.com/title/tt10199590/
2020	Parasite	Parasite	Bong Joon Ho	2 h 12 min	Oscar	https://www.imdb.com/title/tt6751668/
2021	Adieu les cons	Bye Bye Morons	Albert Dupontel	1 h 27 min	Cesar	https://www.imdb.com/title/tt11094600/
2021	Nomadland	Nomadland	Chloé Zhao	1 h 47 min	Oscar	https://www.imdb.com/title/tt9770150/
2021	Titane	Titane	Julia Ducournau	1 h 48 min	Palme	https://www.imdb.com/title/tt10944760/
2022	CODA	CODA	Sian Heder	1 h 51 min	Oscar	https://www.imdb.com/title/tt10366460/
2022	Illusions perdues	Lost Illusions	Xavier Giannoli	2 h 29 min	Cesar	https://www.imdb.com/title/tt10440134/
2022	Sans filtre	Triangle of Sadness	Ruben Östlund	2 h 27 min	Palme	https://www.imdb.com/title/tt7322224/
2023	Anatomie d'une chute	Anatomy of a Fall	Justine Triet	2 h 32 min	Palme	https://www.imdb.com/title/tt17009710/
2023	Everything Everywhere All at Once	Everything Everywhere All at Once	Daniel Kwan, Daniel Scheinert	2 h 19 min	Oscar	https://www.imdb.com/title/tt6710474/
2023	La Nuit du 12	The Night of the 12th	Dominik Moll	1 h 54 min	Cesar	https://www.imdb.com/title/tt16842188/
2024	Anatomie d'une chute	Anatomy of a Fall	Justine Triet	2 h 32 min	Cesar	https://www.imdb.com/title/tt17009710/
2024	Anora	Anora	Sean Baker	2 h 18 min	Palme	https://www.imdb.com/title/tt28102111/
2024	Oppenheimer	Oppenheimer	Christopher Nolan	3 h 00 min	Oscar	https://www.imdb.com/title/tt15398776/
2025	Anora	Anora	Sean Baker	2 h 18 min	Oscar	https://www.imdb.com/title/tt28102111/
